cluster,N_genes
IN_1_DS_down,94
IN_1_DS_up,148
IN_2_DS_down,564
IN_2_DS_up,524
IN_DS_down,629
IN_DS_up,396
IPC_DS_down,380
IPC_DS_up,434
MGE_DS_down,870
MGE_DS_up,1152
nEN_1_DS_down,582
nEN_1_DS_up,754
nEN_DS_down,365
nEN_DS_up,285
nIN_1_DS_down,308
nIN_1_DS_up,226
nIN_DS_down,629
nIN_DS_up,363
RG_DS_down,501
RG_DS_up,861
IN_1_DS_down_TFs,7
IN_1_DS_up_TFs,27
IN_2_DS_down_TFs,81
IN_2_DS_up_TFs,32
IN_DS_down_TFs,69
IN_DS_up_TFs,29
IPC_DS_down_TFs,26
IPC_DS_up_TFs,32
MGE_DS_down_TFs,75
MGE_DS_up_TFs,104
nEN_1_DS_down_TFs,57
nEN_1_DS_up_TFs,48
nEN_DS_down_TFs,32
nEN_DS_up_TFs,32
nIN_1_DS_down_TFs,24
nIN_1_DS_up_TFs,18
nIN_DS_down_TFs,40
nIN_DS_up_TFs,38
RG_DS_down_TFs,33
RG_DS_up_TFs,80
IN_1_DS_down_HSA21,0
IN_1_DS_up_HSA21,27
IN_2_DS_down_HSA21,0
IN_2_DS_up_HSA21,57
IN_DS_down_HSA21,4
IN_DS_up_HSA21,45
IPC_DS_down_HSA21,0
IPC_DS_up_HSA21,55
MGE_DS_down_HSA21,2
MGE_DS_up_HSA21,60
nEN_1_DS_down_HSA21,0
nEN_1_DS_up_HSA21,60
nEN_DS_down_HSA21,2
nEN_DS_up_HSA21,57
nIN_1_DS_down_HSA21,0
nIN_1_DS_up_HSA21,18
nIN_DS_down_HSA21,1
nIN_DS_up_HSA21,45
RG_DS_down_HSA21,2
RG_DS_up_HSA21,56
