id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
TROAP	TROAP	3.92339E+00	0	Adhesion molecule	BrainSpLMD|10024	OMIM|603872
CCNA1	CCNA1	3.86011E+00	0	Cell cycle control protein	BrainSpLMD|8900	OMIM|604036
PIF1	PIF1	3.71030E+00	0	DNA helicase	BrainSpLMD|80119;Eurexp|euxassay_007343|cardiovascular system, cavities and their linings, gland, integumental system, limb, mesenchyme, sensory organ, skeleton, tail, ventricular layer, vertebral axis muscle system, visceral organ	OMIM|610953
NEK2	NEK2	3.67272E+00	0	Serine/threonine kinase	BrainSpLMD|4751	OMIM|604043;HPO|4751|Abnormal electroretinogram, Abnormality of retinal pigmentation, Abnormality of the retinal vasculature, Abnormality of the testis, Anteverted nares, Atypical scarring of skin, Autosomal recessive inheritance, Blindness, Cataract, Conductive hearing impairment, Glaucoma, Hyperinsulinemia, Hypogonadism, Hypoplasia of penis, Intellectual disability, Keratoconus, Nystagmus, Obesity, Ophthalmoplegia, Optic atrophy, Photophobia, Progressive night blindness, Rod-cone dystrophy, Sensorineural hearing impairment, Wide nasal bridge
CDC20	CDC20	3.66406E+00	0	Cell cycle control protein	BrainSpLMD|991;Eurexp|euxassay_005724|hypothalamus, submandibular gland primordium, thymus primordium, ventricular layer	OMIM|603618
PLK1	PLK1	3.66104E+00	0	Serine/threonine kinase	BrainSpLMD|5347	OMIM|602098
HJURP	HJURP	3.64258E+00	0	Unclassified	BrainSpLMD|55355	OMIM|612667
CCNB1	CCNB1	3.63074E+00	0	Cell cycle control protein	BrainSpLMD|891	OMIM|123836
BUB1	BUB1	3.61600E+00	0	Serine/threonine kinase	BrainSpLMD|699;Eurexp|euxassay_018012|3rd ventricle, 4th ventricle, adrenal gland, cochlea, cochlear duct, cortex, foregut-midgut junction, incisor, liver, liver and biliary system, loop, lung, metanephros, midgut, molar, naris, pancreas, penis, retina, rib, submandibular gland primordium, testis, thymus primordium, tongue, turbinate bones, ventricular layer, vibrissa	OMIM|602452;HPO|699|Abnormality of vision, Ascites, Cataract, Corneal opacity, Dandy-Walker malformation, Epicanthus, Glaucoma, Global developmental delay, Increased nuchal translucency, Intellectual disability, Microcephaly, Micrognathia, Microphthalmia, Muscular dystrophy, Polyhydramnios, Short stature, Triangular face
KIF20A	KIF20A	3.56102E+00	0	Motor protein	BrainSpLMD|10112;Eurexp|euxassay_004675|ventricular layer	OMIM|605664
ASPM	ASPM	3.55933E+00	0	Unclassified	BrainSpLMD|259266	SFARI||Autism, 3 - Suggestive evidence;OMIM|605481;HPO|259266|Abnormal cortical bone morphology, Agenesis of corpus callosum, Attention deficit hyperactivity disorder, Autosomal recessive inheritance, Congenital onset, Cortical gyral simplification, Delayed speech and language development, Global developmental delay, Heterotopia, Highly arched eyebrow, Hyperreflexia, Hypoplasia of the corpus callosum, Hypoplasia of the frontal lobes, Intellectual disability, Intellectual disability, severe, Microcephaly, Motor delay, Narrow forehead, Pachygyria, Proptosis, Short stature, Sloping forehead, Small cerebral cortex, Thin upper lip vermilion, Unilateral renal agenesis, Upslanted palpebral fissure, Ventriculomegaly, Vesicoureteral reflux
UBE2C	UBE2C	3.55102E+00	0	Ubiquitin proteasome system protein	BrainSpLMD|11065	OMIM|605574
CENPA	CENPA	3.46230E+00	0	DNA binding protein	BrainSpLMD|1058	OMIM|117139
CDKN3	CDKN3	3.39236E+00	0	Dual specificity phosphatase	BrainSpLMD|1033;Eurexp|euxassay_014422|axial skeleton, basioccipital bone, basisphenoid bone, exoccipital bone, femur, fibula, orbito-sphenoid, pelvic girdle, temporal bone, tibia, turbinate, vault of skull	OMIM|123832
CCNB2	CCNB2	3.36472E+00	0	Cell cycle control protein	BrainSpLMD|9133;Eurexp|euxassay_004323|axial muscle, ventricular layer	OMIM|602755
CDCA8	CDCA8	3.36105E+00	0	Cell cycle control protein	BrainSpLMD|55143	OMIM|609977
KIF23	KIF23	3.31770E+00	0	Motor protein	BrainSpLMD|9493;Eurexp|euxassay_006188|incisor, lung, mantle layer, marginal layer, olfactory, submandibular gland primordium, thymus primordium, thyroid, ventricular layer	OMIM|605064;HPO|9493|Abnormal cellular phenotype, Abnormal proerythroblast morphology, Anemia, Anisocytosis, Fatigue, Hyperbilirubinemia, Increased mean corpuscular volume, Increased serum iron, Increased total iron binding capacity, Poikilocytosis
NMU	NMU	3.31502E+00	0	Ligand	BrainSpLMD|10874	OMIM|605103
CENPF	CENPF	3.31324E+00	0	Cell cycle control protein	BrainSpLMD|1063	OMIM|600236
TPX2	TPX2	3.28522E+00	0	Cell cycle control protein	BrainSpLMD|22974	OMIM|605917
KIF14	KIF14	3.26822E+00	0	Motor protein	BrainSpLMD|9928	OMIM|611279;HPO|9928|Agenesis of corpus callosum, Arthrogryposis multiplex congenita, Autosomal recessive inheritance, Cerebellar hypoplasia, Cerebral hypoplasia, Intrauterine growth retardation, Microcephaly, Oligohydramnios, Renal agenesis, Renal hypoplasia, Rocker bottom foot, Sloping forehead
TOP2A	TOP2A	3.26660E+00	0	Enzyme: Topoisomerase	BrainSpLMD|7153	OMIM|126430;HPO|7153|Elevated urinary catecholamines, Neoplasm of the nervous system
FAM83D	FAM83D	3.25122E+00	0	Unclassified	BrainSpLMD|81610;Eurexp|euxassay_006378|olfactory, ventricular layer	
STX8P1	STX8P1	3.24925E+00	5.77E-15			
ARHGEF39	ARHGEF39	3.19795E+00	0	Guanine nucleotide exchange factor;Unclassified		
KPNA2	KPNA2	3.18548E+00	0	Transport/cargo protein	BrainSpLMD|3838	OMIM|600685
PTTG1	PTTG1	3.18206E+00	0	Transcription regulatory protein	BrainSpLMD|9232	OMIM|604147
