,GO,term,class,p,p_corr,n_genes,n_study,n_go,study_genes
0,GO:0007399,nervous system development,biological_process,8.118826259938032e-07,0.010144473411792572,16,203,370,"['APBA1', 'DPF1', 'ZC4H2', 'DYRK1A', 'SCN3B', 'ELAVL3', 'TCF4', 'DPYSL2', 'DCLK1', 'ERBB4', 'SRRM4', 'ACTL6B', 'MYT1', 'DLX6', 'IGSF9B', 'CRMP1']"
1,GO:1990535,neuron projection maintenance,biological_process,2.8592983689297625e-06,0.017863466559888692,4,203,11,"['MAP1A', 'INSR', 'ATP1A3', 'APP']"
2,GO:0030424,axon,cellular_component,6.250412011835674e-11,1.1100731733020157e-07,20,203,320,"['KIRREL3', 'NMNAT2', 'CDK5R1', 'MAP1A', 'MAPT', 'MACO1', 'ATCAY', 'INSR', 'DYRK1A', 'DNM3', 'SYT1', 'DGKI', 'ELAVL4', 'GRIK3', 'ATP1A3', 'APP', 'BSN', 'SHTN1', 'DSCAML1', 'EPHB1']"
3,GO:0098978,glutamatergic synapse,cellular_component,8.057207961560826e-08,7.154800669866013e-05,18,203,395,"['APBA1', 'PFN2', 'CACNG2', 'TNIK', 'CAMKV', 'DNM3', 'SYT1', 'LZTS1', 'SORCS3', 'DAPK1', 'LRFN5', 'ELAVL4', 'ERBB4', 'GRIK3', 'PRKCZ', 'LRRC4C', 'EPHB1', 'BSN']"
4,GO:0030426,growth cone,cellular_component,7.073572951343628e-07,0.0004187555187195428,10,203,131,"['SHTN1', 'STMN2', 'KIF21B', 'MAPT', 'KLC1', 'ELAVL4', 'CDK5R1', 'ATCAY', 'ACAP3', 'CRMP1']"
5,GO:0043005,neuron projection,cellular_component,4.818286845691435e-06,0.002062234552066089,14,203,328,"['CPEB3', 'GABRB3', 'MAP1A', 'STMN2', 'MAPT', 'SYT1', 'RTN1', 'CDK5R1', 'ATCAY', 'ITSN1', 'IGSF9B', 'EPHB1', 'SEPTIN3', 'ANK2']"
6,GO:0014069,postsynaptic density,cellular_component,6.569457382879995e-06,0.002062234552066089,12,203,247,"['CPEB3', 'DNM3', 'LZTS1', 'DGKI', 'RTN1', 'DAPK1', 'DCLK1', 'CDK5R1', 'CACNG8', 'IGSF9B', 'PRKCZ', 'BSN']"
7,GO:0005874,microtubule,cellular_component,6.967008621844896e-06,0.002062234552066089,13,203,294,"['MAP1A', 'CEP170', 'SYNJ1', 'SHTN1', 'KIF21B', 'DNM3', 'CCT8', 'MAPT', 'DPYSL2', 'KIF3C', 'DYNC1I2', 'KLC1', 'ARHGEF2']"
8,GO:0098982,GABA-ergic synapse,cellular_component,1.4044812518193786e-05,0.003563369576044595,7,203,80,"['GAD1', 'LRFN5', 'ERBB4', 'IGSF9B', 'LHFPL4', 'SST', 'BSN']"
9,GO:0008021,synaptic vesicle,cellular_component,1.8568701852097693e-05,0.0038896371349975813,8,203,115,"['APBA1', 'APP', 'SYT1', 'SVOP', 'KIRREL3', 'DMXL2', 'RAB3C', 'BSN']"
