IN_1_DS_down,IN_1_DS_up,IN_2_DS_down,IN_2_DS_up,IN_DS_down,IN_DS_up,IPC_DS_down,IPC_DS_up,MGE_DS_down,MGE_DS_up,nEN_1_DS_down,nEN_1_DS_up,nEN_DS_down,nEN_DS_up,nIN_1_DS_down,nIN_1_DS_up,nIN_DS_down,nIN_DS_up,RG_DS_down,RG_DS_up,IN_1_DS_down_TFs,IN_1_DS_up_TFs,IN_2_DS_down_TFs,IN_2_DS_up_TFs,IN_DS_down_TFs,IN_DS_up_TFs,IPC_DS_down_TFs,IPC_DS_up_TFs,MGE_DS_down_TFs,MGE_DS_up_TFs,nEN_1_DS_down_TFs,nEN_1_DS_up_TFs,nEN_DS_down_TFs,nEN_DS_up_TFs,nIN_1_DS_down_TFs,nIN_1_DS_up_TFs,nIN_DS_down_TFs,nIN_DS_up_TFs,RG_DS_down_TFs,RG_DS_up_TFs,IN_1_DS_down_HSA21,IN_1_DS_up_HSA21,IN_2_DS_down_HSA21,IN_2_DS_up_HSA21,IN_DS_down_HSA21,IN_DS_up_HSA21,IPC_DS_down_HSA21,IPC_DS_up_HSA21,MGE_DS_down_HSA21,MGE_DS_up_HSA21,nEN_1_DS_down_HSA21,nEN_1_DS_up_HSA21,nEN_DS_down_HSA21,nEN_DS_up_HSA21,nIN_1_DS_down_HSA21,nIN_1_DS_up_HSA21,nIN_DS_down_HSA21,nIN_DS_up_HSA21,RG_DS_down_HSA21,RG_DS_up_HSA21
NUDC,BTF3L4,ENO1,PRKCZ,CDK11B,AL645728.1,PLOD1,INTS11,HES4,ACAP3,DRAXIN,C1orf159,MICOS10,NDC1,HES4,PITHD1,EPHA2,HMGN2,RPL22,CHD5,BBX,MLLT11,ENO1,HIVEP3,PRDM16,GATAD2B,CREB1,POGZ,HES4,HIVEP3,ZNF593,ASH1L,ZNF593,GABPB2,HES4,MLLT11,DMRTA2,ARID1A,ID3,POGZ,,HSPA13,,HSPA13,ADAMTS1,HSPA13,,U2AF1L5,GATD3B,HSPA13,,U2AF1L5,COL6A2,HSPA13,,HSPA13,GATD3B,HSPA13,GATD3B,HSPA13
DAB1,ST6GALNAC5,PNRC2,DHRS3,PRDM16,HPCA,MRTO4,DHRS3,ENO1,PRKCZ,ELOA,PHF13,DDOST,RNF115,RPL11,ELAVL4,PTPRU,ARID1A,DDOST,DISP3,GLIS3,GATAD2B,DMRTA2,TTF2,DMRTA2,ASH1L,NR1D2,GATAD2B,ENO1,MLLT11,YBX1,GON4L,DMRTA2,POGZ,SMARCC1,SOX11,SOX13,PBX1,DMRTA2,GATAD2B,,ATP5PF,,CXADR,PSMG1,CXADR,,HSPA13,,NRIP1,,HSPA13,,NRIP1,,CXADR,,CHODL,,USP25
MAGI3,MLLT11,MAN1C1,RNF19B,RPL22,PATJ,SESN2,MATN1,AGTRAP,GPR153,TMEM50A,AL512330.1,ZNF593,POLR3C,NUDC,TM2D1,SLC2A1,PPIH,ID3,CLCN6,LHX2,PBX1,MIER1,GABPB2,NHLH2,ATF6,ZNF16,ASH1L,ID3,POGZ,DMRTA2,FOSL2,NHLH2,GATAD2B,HES1,SIX3,EOMES,FOXP2,NHLH2,ASH1L,,APP,,C21orf91,COL6A1,ATP5PF,,CXADR,,CXADR,,MRPL39,,USP25,,ATP5PF,,ATP5PF,,NCAM2
PKP4,GATAD2B,LINC01137,PHC2,H6PD,PDE4B,EPB41,CCDC28B,IGSF21,ACOT7,ZNF593,KAZN,PTPRU,BCL9,ZBTB8OS,PRKACB,FAM183A,BCL9,RPL11,PDPN,,SOX11,DR1,GATAD2B,NHLH1,PBX1,LHX5,RC3H1,DMRTA2,GATAD2B,NHLH1,ZNF385B,FEZF2,ASH1L,SMARCA5,DLX2,NCOA7,NRF1,TBR1,PBX1,,CCT8,,CHODL,,APP,,JAM2,,MRPL39,,JAM2,,CXADR,,APP,,APP,,ATP5PF
SLC4A10,ARHGEF11,COL9A2,EPHA10,SLC25A33,SNX7,SRSF4,AGO4,ID3,DISP3,OSCP1,RSRP1,COL9A2,GPR89B,TUT4,SV2A,DMRTA2,CKS1B,NUDC,KAZN,,BCL11A,NHLH1,ASH1L,LHX9,ZNF804A,OTX2,MBD5,MIER1,ASH1L,BCL11A,THAP4,ZIC1,PBX1,ID4,ZNF804A,GATAD1,ZHX2,EOMES,POU2F1,,BACH1,,NCAM2,,USP16,,ATP5PF,,ATP5PF,,ATP5PF,,MRPL39,,CCT8,,USP16,,GABPA
FAM171B,PBX1,RNF220,AL139260.1,SZRD1,PLPPR4,HDAC1,LRRC7,RPL11,DRAXIN,C1orf122,MIR3659HG,DMRTA2,AC244033.2,DOCK7,MLLT11,AL513166.1,BCAN,ATP5IF1,FBXO42,,SP3,LHX9,GON4L,ZFP36L2,ZNF721,ZNF75A,DLX2,BARHL2,PBX1,NEUROD1,NR3C1,AHRR,SP9,GLI3,DLX5,ZMAT4,TET1,FEZF2,RC3H1,,TIAM1,,MRPL39,,CCT8,,APP,,GABPA,,APP,,ATP5PF,,SOD1,,CCT8,,APP
IGFBP2,MIR181A1HG,DMRTA2,HIVEP3,RPL11,RNF115,ZMYM6,AL445433.2,PNRC2,FBXO42,YBX1,AGBL4,COL24A1,VPS45,CACHD1,KIFAP3,TNNI3K,PBX1,EIF3I,EIF4G3,,FOXP1,ATF3,PBX1,KCNIP3,MEF2C,FOXJ1,SP9,NHLH2,RC3H1,ZNF660,ATF6B,ISL1,ZBTB20,ZEB1,RUNX1T1,ZNF16,MXI1,MECOM,ESRRG,,SOD1,,ATP5PF,,TIAM1,,LTN1,,APP,,CCT8,,GABPA,,SON,,BACH1,,LTN1
FRMD4B,ATP2B4,PGM1,DHCR24,AL031985.4,NBPF11,SLC2A1,PALMD,NUDC,CAMK2N1,SVBP,NRDC,NHLH2,GABPB2,PKN2,PRRC2C,CCDC18-AS1,ALDH9A1,NDUFS5,MACO1,,ZBTB20,PROX1,NCOA1,TBR1,ZSCAN23,ZNF558,DLX6,MYCN,ESRRG,LEF1,FOXP2,ETV1,SOX2,KDM2A,LCOR,DMRTA1,KLF12,KLF3,MYT1L,,PAXBP1,,GABPA,,SOD1,,USP16,,LTN1,,TIAM1,,APP,,CRYZL1,,TIAM1,,USP16
EPHA6,SOX11,AK4,NEGR1,FAM183A,AC244033.2,CCDC24,KCND3,NKAIN1,RAP1GAP,EFCAB14,AL139294.1,AC119673.2,PSMB4,RPL5,DNM3,OLFM3,NUCKS1,RPS8,DLGAP3,,JARID2,ESRRG,RARB,NFE2L2,THRA,ZNF441,DLX5,OTX1,MYT1L,SMARCA5,NRF1,BHLHE22,ZNF292,SOX5,ASCL1,RXRA,SOX1,LEF1,MEIS1,,SON,,APP,,SYNJ1,,CCT8,,USP16,,SOD1,,USP16,,ATP5PO,,SOD1,,CCT8
BBX,BCL11A,MIER1,LINC01776,MMACHC,PRUNE1,BEND5,NBPF20,EIF3I,RCAN3,DMRTA2,PDE4B,CHRM3,POGZ,AHCYL1,KLHL20,ATP1A1,KCNH1,DMRTA2,C1orf216,,ID4,EMX1,FOXP1,NEUROD1,L3MBTL4,ZNF681,ZHX1,EMX1,SOX11,SRF,ZNF251,ZFPM2,DLX6,HMGA2,BCL11B,EMX2,HIF1A,HMGA1,NPAS2,,CRYZL1,,USP16,,IFNAR2,,BACH1,,CCT8,,SYNJ1,,CCT8,,MRPS6,,SCAF4,,BACH1
AC046134.2,ANTXR1,GNG12-AS1,AL445433.2,SPATA6,PSMB4,CACHD1,NBPF12,TEKT2,CLIC4,AC099792.1,ST6GALNAC5,ZBTB18,GATAD2B,RALGPS2,NMNAT2,POLR3GL,CENPF,CACHD1,AGO4,,KLF12,TCF7L1,NR3C1,PAX3,ZNF114,ZNF507,CUX2,TCF7L1,MEIS1,NEUROD6,BNC2,ZFP41,DLX5,DACH1,MEIS2,TUB,TOX3,ZNF16,CERS6,,ITSN1,,CCT8,,IL10RB,,SOD1,,BACH1,,PAXBP1,,BACH1,,TTC3,,HUNK,,SCAF4
NLGN1,ACTR3,WLS,SLC16A1-AS1,DMRTA2,GATAD2B,GNG12-AS1,PRKAB2,SLC2A1,MACO1,NFIA-AS2,AL035409.1,ATRAID,ASH1L,RPS7,CAMSAP2,SEMA4A,C1QL2,SERBP1,GRIK3,,BCL11B,ZEB2,FOXP4,EOMES,RUNX1,ZSCAN5A,ZFHX2,TBR1,AFF3,GLI3,ZNF367,ZNF16,VAX1,NPAS3,THRA,PAX6,STAT5B,EMX2,DLX1,,ATP5PO,,BACH1,,IFNAR1,,URB1,,TIAM1,,C21orf62,,TIAM1,,DYRK1A,,MIS18A,,SYNJ1
