,GO,term,class,p,p_corr,n_genes,n_study,n_go,study_genes
0,GO:0007399,nervous system development,biological_process,4.755706829768159e-06,0.03456756116934163,13,156,370,"['APBA1', 'DPF1', 'ZC4H2', 'DYRK1A', 'SCN3B', 'ELAVL3', 'DPYSL2', 'DCLK1', 'ERBB4', 'ACTL6B', 'IGSF9B', 'DLX6', 'CRMP1']"
1,GO:0007612,learning,biological_process,5.533022996293177e-06,0.03456756116934163,6,156,59,"['NRXN1', 'SYNJ1', 'SORCS3', 'PAK5', 'INSR', 'APP']"
2,GO:0030424,axon,cellular_component,3.626313604017914e-10,6.440332960735815e-07,17,156,320,"['DYRK1A', 'DNM3', 'APP', 'MAPT', 'SYT1', 'DGKI', 'EPHB1', 'DSCAML1', 'KIRREL3', 'NMNAT2', 'CDK5R1', 'ATCAY', 'GRIK3', 'MACO1', 'INSR', 'ATP1A3', 'BSN']"
3,GO:0043005,neuron projection,cellular_component,1.2999466425156684e-06,0.0009547106897153709,13,156,328,"['CPEB3', 'GABRB3', 'STMN2', 'MAPT', 'SYT1', 'RTN1', 'CDK5R1', 'ATCAY', 'ITSN1', 'IGSF9B', 'EPHB1', 'SEPTIN3', 'ANK2']"
4,GO:0098978,glutamatergic synapse,cellular_component,1.943828429325566e-06,0.0009547106897153709,14,156,395,"['APBA1', 'CACNG2', 'TNIK', 'CAMKV', 'DNM3', 'SYT1', 'SORCS3', 'LRFN5', 'ERBB4', 'GRIK3', 'PRKCZ', 'LRRC4C', 'EPHB1', 'BSN']"
5,GO:0098982,GABA-ergic synapse,cellular_component,2.4907640218151e-06,0.0009547106897153709,7,156,80,"['GAD1', 'LRFN5', 'ERBB4', 'IGSF9B', 'LHFPL4', 'SST', 'BSN']"
6,GO:0008021,synaptic vesicle,cellular_component,2.6878116264509315e-06,0.0009547106897153709,8,156,115,"['APBA1', 'APP', 'SYT1', 'SVOP', 'KIRREL3', 'DMXL2', 'RAB3C', 'BSN']"
7,GO:0030426,growth cone,cellular_component,7.098178625534567e-06,0.0021010608731582316,8,156,131,"['STMN2', 'KIF21B', 'MAPT', 'KLC1', 'CDK5R1', 'ATCAY', 'ACAP3', 'CRMP1']"
8,GO:0098839,postsynaptic density membrane,cellular_component,9.681341238748588e-06,0.002456294577145356,7,156,98,"['CACNG2', 'SORCS3', 'LRFN5', 'ERBB4', 'GRIK3', 'CACNG8', 'LRRC4C']"
9,GO:0014069,postsynaptic density,cellular_component,1.93767038766956e-05,0.004301628260626423,10,156,247,"['CPEB3', 'DNM3', 'DGKI', 'RTN1', 'DCLK1', 'CDK5R1', 'CACNG8', 'IGSF9B', 'PRKCZ', 'BSN']"
10,GO:0042734,presynaptic membrane,cellular_component,4.7065706340050025e-05,0.009287632717769872,7,156,125,"['NRXN1', 'SYT1', 'KCNJ3', 'ERBB4', 'GRIK3', 'ITSN1', 'ATP1A3']"
11,GO:0030425,dendrite,cellular_component,6.53719516998469e-05,0.01161005862189281,12,156,407,"['CPEB3', 'DYRK1A', 'KIF21B', 'MAPT', 'EPHB1', 'RTN1', 'KIRREL3', 'CDK5R1', 'ATCAY', 'GRIK3', 'LHFPL4', 'BSN']"
12,GO:0098685,Schaffer collateral - CA1 synapse,cellular_component,8.042623366849996e-05,0.01298518099956872,6,156,94,"['APBA1', 'CACNG2', 'PRKCZ', 'LRRC4C', 'INA', 'BSN']"
13,GO:0098793,presynapse,cellular_component,0.00012538226113920328,0.018556574648602085,7,156,146,"['TNIK', 'SYNJ1', 'DNM3', 'CDK5R1', 'ATCAY', 'ITSN1', 'SEPTIN3']"
14,GO:0043197,dendritic spine,cellular_component,0.0001609995534535323,0.02199501591795949,7,156,152,"['APBA1', 'DNM3', 'MAPT', 'DGKI', 'CDK5R1', 'SEZ6', 'APP']"
15,GO:0045202,synapse,cellular_component,0.00018210628852144428,0.023101483458148935,12,156,457,"['CPEB3', 'GABRB3', 'TIAM1', 'MYO9A', 'DGKI', 'DSCAML1', 'NMNAT2', 'MACO1', 'ATCAY', 'PAK5', 'ATP1A3', 'APP']"
16,GO:0044306,neuron projection terminus,cellular_component,0.00022173792564740086,0.02625377039665226,3,156,16,"['SYT1', 'MACO1', 'BSN']"
17,GO:0030672,synaptic vesicle membrane,cellular_component,0.000255716819087174,0.02790640093641962,6,156,117,"['SYT1', 'SVOP', 'DGKI', 'DMXL2', 'RAB3C', 'BSN']"
18,GO:0005886,plasma membrane,cellular_component,0.00027147319052772657,0.02790640093641962,56,156,4991,"['CACNG2', 'GABRB3', 'GAD1', 'CNNM1', 'KIRREL3', 'DPYSL2', 'ERBB4', 'TAOK3', 'CDK5R1', 'CACNG8', 'KCNH7', 'AMER2', 'LHFPL4', 'ENOX1', 'ANK2', 'PDE9A', 'CELSR3', 'NRXN1', 'TIAM1', 'CAMKV', 'MAPT', 'STXBP5L', 'KCNJ3', 'CARMIL1', 'GRK5', 'ITSN1', 'PAK5', 'GNG2', 'INSR', 'LHFPL3', 'KSR2', 'APBA1', 'CPEB3', 'HGSNAT', 'DNM3', 'ADGRG1', 'SYT1', 'DGKI', 'GRIK3', 'PRKCZ', 'GNAO1', 'LRRC4C', 'ATP1A3', 'APP', 'XKR4', 'GNG4', 'SEZ6L2', 'UNC79', 'PCDH7', 'DSCAML1', 'DCLK1', 'RAB3C', 'SCN3B', 'SEZ6', 'HSPA13', 'EPHB1']"
19,GO:0030315,T-tubule,cellular_component,0.00028283514462587453,0.02790640093641962,4,156,42,"['KCNJ3', 'AKAP6', 'RTN2', 'ANK2']"
20,GO:0043025,neuronal cell body,cellular_component,0.0003368074478437453,0.030044055495247076,10,156,351,"['ZC4H2', 'NRXN1', 'STMN2', 'ATP1A3', 'SEZ6L2', 'MAPT', 'RTN1', 'CDK5R1', 'SEZ6', 'SST']"
21,GO:0044304,main axon,cellular_component,0.0003383339582798094,0.030044055495247076,2,156,4,"['MAPT', 'APP']"
22,GO:0005874,microtubule,cellular_component,0.0003952238353385888,0.03342464436006351,9,156,294,"['CEP170', 'SYNJ1', 'DNM3', 'KIF21B', 'CCT8', 'MAPT', 'DPYSL2', 'KIF3C', 'KLC1']"
23,GO:0016363,nuclear matrix,cellular_component,0.0004161795993721384,0.033597044022041715,6,156,127,"['HLCS', 'ACTL6B', 'PRKCZ', 'PHACTR3', 'MORC3', 'RUNX1T1']"
