,GO,term,class,p,p_corr,n_genes,n_study,n_go,study_genes
0,GO:0002181,cytoplasmic translation,biological_process,1.3115363179542578e-19,1.6387646292838452e-15,13,57,89,"['RPS2', 'RPS3', 'RPL5', 'RPL19', 'RPL18', 'RPL7A', 'RPL12', 'RPS7', 'RPS8', 'RPL17', 'RPL13', 'RPL18A', 'RPLP0']"
1,GO:0006412,translation,biological_process,7.888525825054443e-16,4.928356509202764e-12,13,57,179,"['RPS2', 'RPS3', 'RPL5', 'RPL19', 'RPL18', 'RPL7A', 'RPL12', 'RPS7', 'RPS8', 'RPL17', 'RPL13', 'RPL18A', 'RPLP0']"
2,GO:0045727,positive regulation of translation,biological_process,1.885577959405904e-06,0.007853432200925591,5,57,77,"['NPM1', 'VIM', 'RPL5', 'SSB', 'ITGA2']"
3,GO:0021557,oculomotor nerve development,biological_process,7.518630162115517e-06,0.023486320968908347,2,57,2,"['HES1', 'ACKR3']"
4,GO:0022626,cytosolic ribosome,cellular_component,1.7086483420769792e-20,3.0345594555287153e-17,13,57,76,"['RPS2', 'RPS3', 'RPL5', 'RPL19', 'RPL18', 'RPL7A', 'RPL12', 'RPS7', 'RPS8', 'RPL17', 'RPL13', 'RPL18A', 'RPLP0']"
5,GO:0022625,cytosolic large ribosomal subunit,cellular_component,2.819809527104364e-14,2.5039908600686754e-11,9,57,58,"['RPL5', 'RPL19', 'RPL7A', 'RPL12', 'RPL13', 'RPL17', 'RPL18', 'RPL18A', 'RPLP0']"
6,GO:0005925,focal adhesion,cellular_component,1.0035642435358283e-10,5.941100321732103e-08,13,57,422,"['NPM1', 'VIM', 'RPS2', 'RPS3', 'RPL5', 'ITGA2', 'RPL7A', 'RPL12', 'RPS7', 'RPS8', 'RPL19', 'RPL18', 'RPLP0']"
7,GO:1990904,ribonucleoprotein complex,cellular_component,7.833256998471138e-10,3.477966107321185e-07,9,57,168,"['ZFP36L1', 'NPM1', 'VIM', 'RPS3', 'RPL5', 'SSB', 'RPS7', 'RPS8', 'RPLP0']"
8,GO:0005634,nucleus,cellular_component,2.679029993891449e-07,9.515914538302428e-05,33,57,5334,"['NPM1', 'LHX2', 'BCL2L12', 'RNF7', 'SINHCAF', 'IMPDH2', 'RPLP0', 'ZFP36L1', 'CLIC1', 'GCAT', 'RPS2', 'RPS3', 'FBL', 'ACKR3', 'RPL18', 'RPS7', 'RPS8', 'EIF5A', 'CHCHD2', 'ID4', 'DMRTA2', 'LTA4H', 'HES1', 'CCND1', 'SSB', 'ITGA2', 'LEF1', 'HMGN3', 'RPL5', 'RPL7A', 'RPL13', 'RPL17', 'FABP7']"
9,GO:0042788,polysomal ribosome,cellular_component,1.5658091991357736e-06,0.00046347952294418897,4,57,31,"['RPL7A', 'RPL18', 'RPL18A', 'RPL19']"
10,GO:0022627,cytosolic small ribosomal subunit,cellular_component,4.464455132953131e-06,0.0011326960451606802,4,57,41,"['RPS7', 'RPS8', 'RPS2', 'RPS3']"
11,GO:0016020,membrane,cellular_component,8.69692170899636e-06,0.001930716619397192,23,57,3338,"['TTYH1', 'NPM1', 'BCL2L12', 'RPLP0', 'IMPDH2', 'CLIC1', 'RPS2', 'RPS3', 'FBL', 'CTSC', 'RPS7', 'EIF3L', 'RPS8', 'GAS1', 'EIF5A', 'RPL5', 'RPL7A', 'LGALS3BP', 'RPL12', 'RPL13', 'RPL18', 'RPL18A', 'RPL19']"
12,GO:0005737,cytoplasm,cellular_component,1.1352908456928111e-05,0.0022403072688338137,29,57,4957,"['NPM1', 'VIM', 'BOD1', 'EEF1B2', 'RNF7', 'IMPDH2', 'RPLP0', 'GTPBP6', 'ZFP36L1', 'CLIC1', 'RPS2', 'RPS3', 'ROR1', 'RPS7', 'RPS8', 'EIF5A', 'ID4', 'HES1', 'CCND1', 'SSB', 'LEF1', 'RPL5', 'RPL7A', 'RPL12', 'RPL13', 'RPL17', 'RPL18', 'RPL18A', 'RPL19']"
13,GO:0005730,nucleolus,cellular_component,1.9107065247704035e-05,0.0033934147879922365,11,57,1338,"['NPM1', 'FBL', 'RPS3', 'RPL5', 'RPL18', 'RPL7A', 'E2F5', 'RPL12', 'RPS7', 'RPL13', 'RPL19']"
14,GO:0001652,granular component,cellular_component,0.00015649176966072546,0.025266307537949857,2,57,7,"['FBL', 'NPM1']"
15,GO:0003735,structural constituent of ribosome,molecular_function,4.148071234607614e-16,1.8940093257218366e-12,13,57,177,"['RPS2', 'RPS3', 'RPL5', 'RPL19', 'RPL18', 'RPL7A', 'RPL12', 'RPS7', 'RPS8', 'RPL17', 'RPL13', 'RPL18A', 'RPLP0']"
16,GO:0003723,RNA binding,molecular_function,3.779036511708826e-11,8.62754035623125e-08,21,57,1386,"['NPM1', 'RPLP0', 'IMPDH2', 'ZFP36L1', 'RPS2', 'RPS3', 'FBL', 'RPS7', 'EIF3L', 'RPS8', 'EIF5A', 'LTA4H', 'SSB', 'RPL5', 'RPL7A', 'RPL12', 'RPL13', 'RPL17', 'RPL18', 'RPL18A', 'RPL19']"
